exp_subject_id,song_id,similarity
592441,2012_2,5
592445,2016_2,7
592445,2012_4,4
592445,2012_5,7
592445,2017_2,6
592445,2018_5,3
592445,2014_3,1
592445,2008_2,1
592445,2014_2,1
592445,2018_4,1
592445,2019_1,6
592445,2017_3,6
592445,2019_3,1
592445,2011_3,7
592445,2013_5,2
592445,2010_2,2
592445,2013_1,2
592445,2019_4,3
592445,2009_3,7
592445,2019_2,1
592445,2018_2,5
592445,2017_4,1
592445,2016_5,1
592445,2017_5,1
592445,2012_1,3
592445,2015_3,7
592445,2016_3,1
592445,2018_3,7
592445,2013_6,1
592445,2012_2,4
592445,2016_4,3
592445,2013_2,4
592445,2013_3,4
592445,2012_3,2
592445,2009_2,3
592445,2014_4,2
592445,2015_2,7
592445,2008_3,3
592445,2018_1,1
592445,2016_1,1
592445,2017_1,1
592445,2015_5,1
592445,2011_1,3
592445,2010_3,2
592445,2015_1,7
592445,2015_4,1
592445,2014_1,6
592445,2014_5,7
592445,2011_4,1
592445,2010_1,1
592445,2011_2,1
592455,2016_2,7
592455,2009_3,7
592455,2011_3,6
592455,2012_5,4
592455,2014_2,4
592455,2013_5,3
592455,2014_3,4
592455,2017_2,5
592455,2017_4,6
592455,2008_2,5
592455,2017_5,3
592455,2019_3,2
592455,2013_1,5
592455,2012_1,6
592455,2019_1,5
592455,2012_4,5
592455,2019_2,4
592455,2018_4,4
592455,2010_2,7
592455,2017_3,6
592455,2018_2,6
592455,2019_4,3
592455,2016_5,2
592455,2018_5,4
592455,2015_3,7
592455,2014_5,6
592455,2014_1,6
592455,2013_6,6
592455,2013_3,7
592455,2018_1,5
592455,2012_3,3
592455,2011_4,1
592455,2013_2,5
592455,2010_3,5
592455,2016_4,5
592455,2011_1,2
592455,2011_2,3
592455,2018_3,6
592455,2010_1,2
592455,2015_5,5
592455,2016_3,4
592455,2016_1,3
592455,2015_4,4
592455,2015_2,4
592455,2008_3,3
592455,2012_2,5
592455,2015_1,7
592455,2014_4,5
592455,2017_1,4
592455,2009_2,1
592459,2018_5,5
592459,2012_4,4
592459,2017_3,4
592459,2017_4,4
592459,2012_5,3
592459,2013_1,3
592459,2016_2,3
592459,2017_2,4
592459,2013_5,2
592459,2011_3,5
592459,2014_3,1
592459,2018_4,3
592459,2017_5,4
592459,2010_2,3
592459,2018_2,5
592459,2019_1,5
592459,2016_5,2
592459,2008_2,2
592459,2015_3,4
592459,2014_2,3
592459,2009_3,4
592459,2019_2,3
592459,2019_4,2
592459,2019_3,2
592459,2012_1,2
592459,2014_4,2
592459,2014_1,5
592459,2011_2,5
592459,2016_3,3
592459,2008_3,2
592459,2018_3,4
592459,2013_3,4
592459,2012_3,1
592459,2013_6,3
592459,2011_1,1
592459,2016_4,2
592459,2017_1,1
592459,2009_2,4
